ID	Host_Optatus	Unrelated	IDNum	HostParents	HostParentShort	HostCommon	EggGens	EggClade	Gens	GensEvidence	Species	Species_Latin	Shape	SpeciesShort	Sex	Plumage	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent	Latitude	Longitude	Age	Source	Sampling_Year	Country	Habitat	Hap
202_CC_ORW_CHN_F	1	1	202	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.14	12	34.37	2.695686275	144.830724	143.89398	0.993532146	21.7246086	21.53738537	0.991381975	47.36666667	124.35	Young	Blood	2019	CHN	Savannas	W3
203_CC_ORW_CHN_F	1	0	203	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.27	13	28.11	2.182453416	140.605474	139.631234	0.993071109	21.0908211	20.89181973	0.990564551	47.4	124.3833333	Young	Blood	2018	CHN	Croplands	W3
204_CC_ORW_CHN_F	1	0	204	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	12.67	12	31.74	2.595257563	136.803858	135.847336	0.993008077	20.5205787	20.32708245	0.990570624	47.36666667	124.35	Young	Blood	2020	CHN	Savannas	W3
205_CC_ORW_CHN_F	1	1	205	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.32	13	51.38	3.992229992	143.771436	142.822906	0.993402514	21.5657154	21.37331436	0.991078383	47.7	124.6833333	Young	Blood	2019	CHN	Savannas	W3
206_CC_ORW_CHN_F	1	1	206	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	11.95	11	64.19	5.61592301	136.726784	135.775202	0.993040266	20.5090176	20.30431223	0.990018763	47.36666667	124.35	Young	Blood	2018	CHN	Savannas	W3
207_CC_ORW_CHN_F	1	1	207	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	12.77	12	20.09	1.637326813	140.626438	139.698012	0.993397927	21.0939657	20.89635926	0.990632087	47.41666667	124.4	Young	Blood	2020	CHN	Croplands	W3
208_CC_ORW_CHN_F	1	1	208	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.34	13	86.97	6.752329193	143.703058	142.804466	0.993746883	21.5554587	21.37849083	0.991790113	47.36666667	124.35	Young	Blood	2018	CHN	Savannas	W3
209_CC_ORW_CHN_F	1	0	209	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	12.92	12	119.16	9.5328	143.778636	142.913616	0.993983668	21.5667954	21.39664964	0.992110754	47.56666667	124.55	Young	Blood	2019	CHN	Croplands	W3
210_CC_ORW_CHN_F	1	0	210	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	light_white_with_black_spots	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	12.45	12	25.14	2.09325562	137.252116	136.359704	0.993498009	20.5878174	20.40469654	0.991105377	47.66666667	124.65	Young	Blood	2019	CHN	Croplands	W3
211_CB_GBC_CHN_F	1	0	211	Saxicola_ferreus	S. ferreus	Grey Bushchat	S. ferreus	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	13.46	13	37.31	2.839421613	143.211254	142.127644	0.992433486	21.4816881	21.26346816	0.989841583	26.16666667	105.4	Young	Blood	2020	CHN	Edge	W2
