ID	Hap	KDist	Gens	Habitat	KCluster
069_CC_GRW_BGR_F	W5	D4	A. arundinaceus	Croplands	K2
071_CC_GRW_BGR_F	W5	D4	A. arundinaceus	Croplands	K2
074_CC_MSH_BGR_F	W5	D4	A. palustris	Croplands	K2
287_CC_UNK_RUS_M	W5	D1	NA	NA	K2
016_CC_GRW_HUN_F	W5	D4	A. arundinaceus	Croplands	K2
420_CC_GRW_HUN_F	W5	D4	NA	Croplands	K2
426_CC_GRW_HUN_F	W5	D4	NA	Croplands	K2
427_CC_GRW_HUN_F	W5	D4	NA	Croplands	K2
429_CC_GRW_HUN_F	W5	D4	NA	Croplands	K2
430_CC_GRW_HUN_F	W5	D4	NA	Croplands	K2
153_CC_ERW_CZE_F	W5	D4	NA	Wetlands	K2
375_CC_PLW_RUS_F	W6	D7	NA	NA	K3
286_CC_UNK_RUS_F	W6	D14	NA	NA	K3
282_CC_UNK_RUS_M	W6	D14	NA	NA	K3
250_CC_MWB_RUS_M	W6	D14	E. cioides	Savannas	K3
291_CC_UNK_RUS_F	W6	D7	NA	NA	K3
292_CC_UNK_RUS_M	W6	D7	NA	NA	K3
293_CC_UNK_RUS_M	W6	D7	NA	NA	K3
294_CC_UNK_RUS_F	W6	D7	NA	NA	K3
295_CC_UNK_RUS_F	W6	D7	NA	NA	K3
261_CC_BFB_RUS_F	W6	D7	E. spodocephala	Savannas	K3
289_CC_UNK_RUS_M	W6	D7	NA	NA	K3
395_CC_UNK_RUS_M	W6	D10	NA	NA	K3
262_CC_BFB_RUS_M	W6	D7	E. spodocephala	Savannas	K3
142_CC_UNK_RUS_M	W6	D10	NA	NA	K3
161_CC_UNK_MON_M	W6	D11	NA	NA	K3
393_CC_UNK_RUS_F	W6	D11	NA	NA	K3
300_CC_UNK_RUS_M	W6	D8	NA	NA	K2
299_CC_UNK_RUS_F	W6	D8	NA	NA	K2
298_CC_UNK_RUS_M	W6	D8	NA	NA	K2
328_CC_SCC_RUS_F	W6	D8	NA	NA	K2
279_CC_UNK_RUS_F	W6	D1	NA	NA	K2
028_CC_BRA_FIN_F	W6	D5	F. montifringilla	Savannas	K2
029_CC_BRA_FIN_F	W6	D5	F. montifringilla	Savannas	K2
084_CC_BRA_FIN_M	W6	D5	F. montifringilla	Savannas	K2
269_CC_TBW_RUS_F	W7	D14	Ar. aedon	Edge	K3
272_CC_TBW_RUS_F	W7	D14	Ar. aedon	Edge	K3
273_CC_TBW_RUS_F	W7	D14	Ar. aedon	Edge	K5
270_CC_TBW_RUS_F	W7	D14	Ar. aedon	Savannas	K3
283_CC_UNK_RUS_F	W7	D14	NA	NA	K3
