#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
134_CC_UNK_ENG_M	-0.0721735	-0.0169006	-0.153351	0.0700421	-0.0182648	-0.0323316	0.0255834	-0.00212767	0.0173054	-0.00442677
135_CC_UNK_ENG_M	-0.0704792	-0.0135237	-0.150438	0.0672778	-0.0159057	-0.0325737	0.0218299	0.00178598	0.018748	-0.00313977
136_CC_UNK_ENG_M	-0.0719982	-0.0183755	-0.151389	0.0629324	-0.0194963	-0.0341141	0.0299289	-0.011088	0.0164466	0.00301786
138_CC_UNK_BLR_M	-0.0514667	-0.0035522	0.0290716	0.020581	-0.022743	0.0438037	-0.0150141	0.0192268	-0.0112204	-0.00341143
140_CC_UNK_BLR_M	-0.0475253	-0.00797795	0.033635	0.0276085	-0.0274606	0.054248	-0.0206689	0.0180206	-0.0012376	0.00640681
141_CC_UNK_RUS_M	0.0115875	-0.0112853	0.107838	0.053914	-0.0500777	0.0306731	-0.0138487	0.0185964	0.0499403	-0.0189076
142_CC_UNK_RUS_M	0.090869	-0.111622	0.0902961	0.103024	-0.0887478	-0.268496	-0.0690402	-0.0374144	-0.0224331	0.00960259
143_CC_UNK_RUS_M	0.0904682	-0.116078	0.098845	0.115864	-0.0983396	-0.305041	-0.0814391	-0.0424125	-0.0266809	0.00617733
145_CC_GRW_BGR_M	-0.0581429	0.00212029	0.0395283	-0.0365767	0.0144172	0.0202172	-0.0104227	-0.0697603	0.0181717	0.0103677
149_CC_GRW_BGR_M	-0.0573964	0.00330585	0.0354505	-0.0350192	0.0182803	0.0160962	0.00201469	-0.0577091	0.00859225	-0.00440888
150_CC_GRW_CZE_F	-0.0636367	-0.00609447	0.00152092	-0.0129035	0.00574108	0.00931177	-0.00328645	-0.00866943	-0.00806275	0.0174214
151_CC_GRW_CZE_F	-0.0608979	-0.00473312	0.00751422	-0.00324517	-0.00367775	0.030499	-0.0177284	-0.00101583	-0.00279323	0.00843509
152_CC_GRW_CZE_F	-0.0612767	-0.0100706	0.0038102	-0.0072325	0.0048908	0.00325561	0.0129798	-0.00651428	0.0165662	-0.0182377
153_CC_ERW_CZE_F	-0.0618376	-0.00425171	-0.00470275	-0.00241935	-0.00170127	0.0176513	-0.0103277	-0.00569464	-0.0153896	-0.0103858
157_CC_GRW_CZE_M	-0.0622015	-0.00426354	-0.00323078	0.00120609	-0.00189811	0.017049	-0.0111461	-0.00285462	-0.000616897	-0.00767446
159_CC_UNK_MON_M	0.0533341	-0.00477544	0.0603291	0.0349183	-0.0321607	-0.0122514	0.014929	-0.00031087	0.0191171	-0.00221004
160_CC_UNK_MON_M	0.0542486	-0.00675131	0.0595748	0.0356705	-0.033693	-0.0139955	0.00677117	0.00123195	0.0177497	-0.00512043
161_CC_UNK_MON_M	0.0551501	-0.00726856	0.0579389	0.0330111	-0.0355877	-0.0166602	0.0036057	0.00502899	0.0183631	-0.00448045
162_CC_UNK_MON_M	0.0561071	-0.00861233	0.0558962	0.0380571	-0.0340297	-0.0147072	0.0060372	0.00333357	0.0156106	-0.00075387
164_CC_ORW_CHN_M	0.091832	0.0189722	-0.0427768	-0.0951611	-0.100776	0.0310185	0.0656912	0.00204753	-0.0224267	0.00473329
169_CC_ORW_CHN_M	0.0898822	0.013482	-0.0347922	-0.0893174	-0.0984715	0.0275382	0.0598014	-0.00428775	-0.0185315	0.00375897
175_CC_ORW_CHN_M	0.0901836	0.00806497	-0.0316155	-0.0788085	-0.083921	0.0205392	0.0570668	-0.00647985	-0.0168736	0.00155349
182_CB_GBC_CHN_M	0.0624454	0.240469	0.0180293	0.111121	0.111222	-0.0556216	0.0924332	-0.00284787	-0.103736	0.0242061
183_CB_OMR_CHN_M	0.0631886	0.240147	0.0146839	0.108353	0.109309	-0.054826	0.0912722	-0.00839614	-0.0891824	0.0233503
184_CC_IBS_CHN_F	0.00770412	0.0919846	0.163111	0.111488	-0.01724	0.100595	0.141041	0.0133135	0.288927	-0.074427
185_CB_OMR_CHN_F	0.065561	0.231166	0.0106131	0.105481	0.112522	-0.0563247	0.0762112	-0.00367775	-0.0851606	0.0224524
186_CC_ORW_CHN_F	0.0923533	0.0277205	-0.0509392	-0.0997211	-0.101265	0.033199	0.0407821	0.00362946	-0.0120402	0.00448367
188_CC_ORW_CHN_F	0.0927042	0.017768	-0.0477949	-0.101929	-0.110162	0.0361385	0.0639911	-0.00563886	-0.0177967	0.00345921
