Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECO1	ECO3	1	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO2	ECO3	1	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO3	ECO3	1	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO4	ECO3	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO1	ECO4	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO2	ECO4	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO3	ECO4	0	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO4	ECO4	3	m4	1	Egg	3	2	0.54212962962963	1.68615054620275	0.218928571428571	0.185665986677052
ECO1	ECO1	2	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO2	ECO1	1	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO3	ECO1	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO4	ECO1	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO1	ECO2	2	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO2	ECO2	1	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO3	ECO2	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO4	ECO2	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO1	ECO3	1	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO2	ECO3	1	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO3	ECO3	1	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO4	ECO3	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO1	ECO4	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO2	ECO4	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO3	ECO4	0	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO4	ECO4	3	m5	1	Egg	3	2	0.69453431372549	1.44254253831088	0.258	0.180074806752461
ECO1	ECO1	2	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO2	ECO1	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO3	ECO1	1	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO4	ECO1	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO1	ECO2	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO2	ECO2	2	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO3	ECO2	1	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO4	ECO2	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO1	ECO3	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO2	ECO3	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO3	ECO3	3	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO4	ECO3	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO1	ECO4	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO2	ECO4	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO3	ECO4	0	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO4	ECO4	3	m6	1	Egg	3	2	0.842716315453384	1.13569288856213	0.496738095238095	0.225618160284102
ECO1	ECO1	2	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO2	ECO1	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO3	ECO1	1	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO4	ECO1	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO1	ECO2	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO2	ECO2	2	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO3	ECO2	1	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO4	ECO2	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO1	ECO3	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO2	ECO3	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO3	ECO3	3	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO4	ECO3	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO1	ECO4	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO2	ECO4	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO3	ECO4	0	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO4	ECO4	3	m7	1	Egg	3	2	0.783270202020202	1.2343576362494	0.485833333333333	0.267143670598314
ECO1	ECO1	3	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO2	ECO1	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO3	ECO1	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO4	ECO1	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO1	ECO2	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO2	ECO2	2	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO3	ECO2	1	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO4	ECO2	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO1	ECO3	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO2	ECO3	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO3	ECO3	3	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO4	ECO3	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO1	ECO4	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO2	ECO4	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO3	ECO4	0	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO4	ECO4	3	m1	2	Egg	3	2	0.728514660493827	1.4309693539154	0.461285714285714	0.214007253201647
ECO1	ECO1	2	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO2	ECO1	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO3	ECO1	1	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO4	ECO1	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO1	ECO2	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO2	ECO2	2	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO3	ECO2	1	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO4	ECO2	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO1	ECO3	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO2	ECO3	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO3	ECO3	3	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO4	ECO3	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO1	ECO4	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO2	ECO4	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO3	ECO4	0	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO4	ECO4	3	m2	2	Egg	3	2	0.709902426160337	1.49587280177255	0.373904761904762	0.21132851265208
ECO1	ECO1	2	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO2	ECO1	1	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO3	ECO1	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO4	ECO1	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO1	ECO2	1	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO2	ECO2	2	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO3	ECO2	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO4	ECO2	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO1	ECO3	2	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO2	ECO3	1	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO3	ECO3	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO4	ECO3	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO1	ECO4	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO2	ECO4	1	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO3	ECO4	0	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO4	ECO4	2	m3	2	Egg	3	2	0.510976702508961	1.81032987964875	0.224	0.19628022296178
ECO1	ECO1	2	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO2	ECO1	1	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO3	ECO1	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO4	ECO1	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO1	ECO2	1	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO2	ECO2	2	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO3	ECO2	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO4	ECO2	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO1	ECO3	2	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO2	ECO3	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO3	ECO3	1	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO4	ECO3	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO1	ECO4	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO2	ECO4	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO3	ECO4	0	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO4	ECO4	3	m4	2	Egg	3	2	0.644244281045752	1.65622427660995	0.250690476190476	0.186033228118835
ECO1	ECO1	3	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO2	ECO1	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO3	ECO1	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO4	ECO1	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO1	ECO2	3	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO2	ECO2	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO3	ECO2	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO4	ECO2	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO1	ECO3	2	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO2	ECO3	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO3	ECO3	1	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO4	ECO3	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO1	ECO4	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO2	ECO4	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO3	ECO4	0	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO4	ECO4	3	m5	2	Egg	3	2	0.671277454780362	1.47071370397103	0.312	0.19649110465554
ECO1	ECO1	2	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO2	ECO1	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO3	ECO1	1	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO4	ECO1	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO1	ECO2	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO2	ECO2	2	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO3	ECO2	1	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO4	ECO2	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO1	ECO3	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO2	ECO3	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO3	ECO3	3	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO4	ECO3	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO1	ECO4	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO2	ECO4	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO3	ECO4	0	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO4	ECO4	3	m6	2	Egg	3	2	0.7677913647343	1.20334030580721	0.460595238095238	0.225513499211414
ECO1	ECO1	2	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO2	ECO1	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO3	ECO1	1	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO4	ECO1	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO1	ECO2	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO2	ECO2	2	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO3	ECO2	1	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO4	ECO2	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO1	ECO3	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO2	ECO3	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO3	ECO3	3	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO4	ECO3	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO1	ECO4	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO2	ECO4	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO3	ECO4	0	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO4	ECO4	3	m7	2	Egg	3	2	0.795692883895131	1.21802112944368	0.48197619047619	0.212038414920401
ECO1	ECO1	3	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO2	ECO1	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO3	ECO1	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO4	ECO1	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO1	ECO2	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO2	ECO2	3	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO3	ECO2	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO4	ECO2	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO1	ECO3	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO2	ECO3	2	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO3	ECO3	1	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO4	ECO3	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO1	ECO4	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO2	ECO4	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO3	ECO4	0	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO4	ECO4	3	m1	3	Egg	3	2	0.766189759036145	1.33141342482049	0.394238095238095	0.217615932145054
ECO1	ECO1	3	m2	3	Egg	3	2	0.779365684281843	1.378709251181	0.3175	0.200411683474732
ECO2	ECO1	0	m2	3	Egg	3	2	0.779365684281843	1.378709251181	0.3175	0.200411683474732
ECO3	ECO1	0	m2	3	Egg	3	2	0.779365684281843	1.378709251181	0.3175	0.200411683474732
ECO4	ECO1	0	m2	3	Egg	3	2	0.779365684281843	1.378709251181	0.3175	0.200411683474732
ECO1	ECO2	0	m2	3	Egg	3	2	0.779365684281843	1.378709251181	0.3175	0.200411683474732
ECO2	ECO2	1	m2	3	Egg	3	2	0.779365684281843	1.378709251181	0.3175	0.200411683474732
ECO3	ECO2	2	m2	3	Egg	3	2	0.779365684281843	1.378709251181	0.3175	0.200411683474732
