Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
E10	E10	2	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E3	E10	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E6	E10	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E7	E10	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E8	E10	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E9	E10	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E10	E3	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E3	E3	2	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E6	E3	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E7	E3	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E8	E3	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E9	E3	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E10	E6	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E3	E6	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E6	E6	2	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E7	E6	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E8	E6	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E9	E6	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E10	E7	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E3	E7	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E6	E7	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E7	E7	2	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E8	E7	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E9	E7	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E10	E8	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E3	E8	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E6	E8	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E7	E8	1	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E8	E8	1	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E9	E8	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E10	E9	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E3	E9	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E6	E9	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E7	E9	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E8	E9	0	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E9	E9	2	m1	1	Egg	2	2	0.916666666666667	0.880133398506833	0.474809523809524	0.239371323039892
E10	E10	2	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E3	E10	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E6	E10	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E7	E10	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E8	E10	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E9	E10	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E10	E3	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E3	E3	2	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E6	E3	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E7	E3	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
E8	E3	0	m2	1	Egg	2	2	0.965447154471545	0.459943754037427	0.4735	0.238707883035144
