shifts	Tree	Species	MLloglik	MLest	MLse
15	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
14	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
13	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
15	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
15	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
16	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
14	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
13	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
13	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
13	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
20	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
15	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
15	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
17	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
13	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
18	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
14	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
13	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
14	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
12	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
10	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
11	a1	CO	-39.1036055575477	1.10444949854182	0.256680476860314
