ID	Contributor	Contributor_ID	SRA_Biosample	SRA_Accessions	Already_Released_SRA	Analysis_PopulationGenetics	Analysis_SNAPP	Analysis_GensAssociations	Analysis_GeneHunt	IDNum	Egg	EggCol	EggShape	EggOrder	HostParents	HostParentShort	HostCommon	Species	Species_Latin	Shape	SpeciesShort	Sex	Age	Source	Latitude	Longitude	CountryFull	HostColor	HostShape	Sampling_Year	GeographicGroup	GeoOrder	GeoShape	GeoColor	Haplogroup	HaplogroupColor	Habitat	AncestryA5	AncestryColor	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent
017_CC_GRW_HUN_F	Frode Fossøy & Bård Stokke	162_GRW_HUN07_352	SAMN14427338	SRR11394223,SRR11394222,SRR11394221	Unreleased	1	1	1	1	017	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	47.12	19.1	Hungary	#46F884FF	15	2007	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	10.59	11	73.96	7.01042654	129.12281	125.242454	0.969948331	13.04140381	12.64483666	0.969591682
018_CC_GRW_HUN_M	Frode Fossøy & Bård Stokke	166_GRW_HUN06_221	SAMN14427339	SRR11394301,SRR11394299,SRR11394298	Unreleased	1	0	1	0	018	ECC6	#D55E00	23	6	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	Common cuckoo	C. c. canorus	21	CC	M	Young	Blood	47.12	19.1	Hungary	#46F884FF	15	2006	GCC4	4	24	#FFB86D	MCC7	#33A02C	Croplands	ACC4	#636363	11.62	12	56.41	4.87554019	141.30641	137.193508	0.970893734	14.27194741	13.85128619	0.97052531
022_CC_RED_FIN_F	Frode Fossøy & Bård Stokke	180_RED_FIN06_p10	SAMN14427343	SRR11394287,SRR11394286,SRR11394285	Unreleased	1	1	1	1	022	ECC1	#88CCEE	21	1	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2006	GCC5	5	25	#FFA04E	MCC1	#A6CEE3	Forest	ACC4	#636363	18.01	19	103.21	5.746659243	217.527014	212.995158	0.979166468	21.97022841	21.50606527	0.978873085
023_CC_RED_FIN_F	Frode Fossøy & Bård Stokke	182_RED_FIN06_p15	SAMN14427344	SRR11394283,SRR11394282,SRR11394281,SRR11531700	Unreleased	1	0	0	0	023	NA	NA	8	16	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2006	GCC5	5	25	#FFA04E	MCC1	#A6CEE3	Forest	ACC4	#636363	11.27	11	23.61	2.102404274	135.438898	132.724796	0.97996069	13.6793287	13.40133025	0.979677479
024_CC_RED_FIN_M	Frode Fossøy & Bård Stokke	183_RED_FIN06_p16	SAMN14427345	SRR11394220,SRR11394219,SRR11394218	Unreleased	1	0	1	0	024	ECC1	#88CCEE	21	1	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	Common cuckoo	C. c. canorus	21	CC	M	Young	Blood	61.42	28.53	Finland	#30123BFF	18	2006	GCC5	5	25	#FFA04E	MCC1	#A6CEE3	Forest	ACC4	#636363	18.1	19	99.68	5.522437673	219.097396	214.099528	0.97718883	22.128837	21.6178932	0.976910499
028_CC_BRA_FIN_F	Frode Fossøy & Bård Stokke	192_BRA_FIN07_923	SAMN14427349	SRR11394207,SRR11394206,SRR11394205,SRR11531698	Unreleased	1	1	1	0	028	ECC3	#56B4E9	23	3	Fringilla_montifringilla	F. montifringilla	Brambling	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	67.65	24.9	Finland	#46F884FF	16	2007	GCC5	5	25	#FFA04E	MCC6	#E31A1C	Savannas	ACC4	#636363	18.83	19	459.42	24.47629196	227.492176	222.171676	0.976612382	22.97670978	22.43160921	0.976275952
029_CC_BRA_FIN_F	Frode Fossøy & Bård Stokke	194_BRA_FIN07_113	SAMN14427350	SRR11394204,SRR11394203,SRR11394201	Unreleased	1	1	1	0	029	ECC3	#56B4E9	23	3	Fringilla_montifringilla	F. montifringilla	Brambling	Common cuckoo	C. c. canorus	21	CC	F	Young	Tissue	67.65	24.9	Finland	#46F884FF	16	2007	GCC5	5	25	#FFA04E	MCC6	#E31A1C	Savannas	ACC4	#636363	23.82	24	4091.66	172.4256216	291.455138	282.00302	0.967569218	29.43696894	28.46849447	0.967100062
030_CC_MPT_NOR_F	Frode Fossøy & Bård Stokke	196_MP_NOR98_NHM20077	SAMN14427351	SRR11394160,SRR11394159,SRR11394158	Unreleased	1	0	0	0	030	NA	NA	8	16	Anthus_pratensis	An. pratensis	Meadow Pipit	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	61.41666	8.8666	Norway	#30123BFF	17	1998	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Shrublands	ACC5	#252525	15.55	15	353.59	22.82698515	190.548464	184.567882	0.968613854	19.24539486	18.63248628	0.968152974
031_CC_MPT_SWE_F	Frode Fossøy & Bård Stokke	276_MP_SWE08_1	SAMN14427352	SRR11394157,SRR11394156,SRR11394155,SRR11531701	Unreleased	1	0	0	0	031	NA	NA	8	16	Anthus_pratensis	An. pratensis	Meadow Pipit	Common cuckoo	C. c. canorus	21	CC	F	Young	Blood	65.97	16.21	Sweden	#30123BFF	17	2008	GCC5	5	25	#FFA04E	MCC7	#33A02C	Savannas	ACC4	#636363	34.59	33	547.76	16.16287991	396.227126	388.012116	0.979266917	49.16620093	48.21204731	0.980593302
032_CC_MPT_NOR_M	Frode Fossøy & Bård Stokke	277_MP_NOR92_NHM6916	SAMN14427353	SRR11394154,SRR11394153,SRR11394152	Unreleased	1	0	0	0	032	NA	NA	8	16	Anthus_pratensis	An. pratensis	Meadow Pipit	Common cuckoo	C. c. canorus	21	CC	M	Adult	Blood	61.41666	8.8666	Norway	#30123BFF	17	1992	GCC3	3	23	#FFCF8D	MCC7	#33A02C	Shrublands	ACC5	#252525	14.07	14	51.04	3.640513552	173.09991	166.679276	0.96290793	17.48309091	16.82944861	0.962612886
